n,n_clusters,k,dim,avg_score
1000,2,7,2,0.3258901720108875
1000,2,8,2,0.3180117166653945
1000,2,9,2,0.3313127790366948
1000,2,10,2,0.3304492549927173
1000,2,2,2,0.6443729846702066
1000,2,3,2,0.4505630015947278
1000,2,4,2,0.30687317952822674
1000,2,5,2,0.32168705181806356
1000,2,6,2,0.33509533679059006
1000,2,7,2,0.33281936493028197
1000,2,8,2,0.32437516872305067
1000,2,9,2,0.32539020593449414
1000,2,10,2,0.32069448921538707
1000,2,2,2,0.8242616187280656
1000,2,3,2,0.5698077928291615
1000,2,4,2,0.31981095681420174
1000,2,5,2,0.3375214321132747
1000,2,6,2,0.3418524047500439
1000,2,7,2,0.33608119969512296
1000,2,8,2,0.3266041341588852
1000,2,9,2,0.33334178821166965
1000,2,10,2,0.33637736943162555
1000,2,2,2,0.8004942841849548
1000,2,3,2,0.562044430754085
1000,2,4,2,0.3206186152874199
1000,2,5,2,0.3230601492349969
1000,2,6,2,0.3305337661659905
1000,2,7,2,0.3302583793555988
1000,2,8,2,0.3318260078789934
1000,2,9,2,0.32349568268211876
1000,2,10,2,0.3418304351323275
1000,2,2,2,0.5020253882883762
1000,2,3,2,0.353350430722367
1000,2,4,2,0.34437926875836505
1000,2,5,2,0.323169476098527
1000,2,6,2,0.32841816769419346
1000,2,7,2,0.3188926163079225
1000,2,8,2,0.3256382518339628
1000,2,9,2,0.32436476928108243
1000,2,10,2,0.32565014247454993
1000,2,2,2,0.8635420350009734
1000,2,3,2,0.5904013361429807
1000,2,4,2,0.3257043507490143
1000,2,5,2,0.33946888695246685
1000,2,6,2,0.3443500941191171
1000,2,7,2,0.33847369107888553
1000,2,8,2,0.32799632827509323
1000,2,9,2,0.33085346483655476
1000,2,10,2,0.33000022974730475
1000,2,2,2,0.8098850903368691
1000,2,3,2,0.5596311707829155
1000,2,4,2,0.3163752423123995
1000,2,5,2,0.331716928495392
1000,2,6,2,0.34461987510134756
1000,2,7,2,0.32970820110336063
1000,2,8,2,0.3273382287860003
1000,2,9,2,0.3187931132617101
1000,2,10,2,0.3208297236446469
1000,2,2,2,0.9072631301200275
1000,2,3,2,0.6095734620185653
1000,2,4,2,0.32210232982424863
1000,2,5,2,0.3290871308701596
1000,2,6,2,0.3435969362431832
1000,2,7,2,0.34052683001134815
1000,2,8,2,0.3350641761004972
1000,2,9,2,0.33625071603856915
1000,2,10,2,0.3239341612892794
1000,2,2,2,0.5868542356804771
1000,2,3,2,0.39067626725245996
1000,2,4,2,0.31883450896000104
1000,2,5,2,0.31994748154170893
1000,2,6,2,0.3267819178307382
1000,2,7,2,0.32831997749422337
1000,2,8,2,0.31601445270034223
1000,2,9,2,0.3146065148879003
1000,2,10,2,0.3200967840236874
1000,2,2,2,0.8835112958815369
1000,2,3,2,0.6127470801466692
1000,2,4,2,0.32534193529060657
1000,2,5,2,0.34781953069267413
