n,n_clusters,k,dim,avg_score
1000,4,7,2,0.38218758060829155
1000,4,8,2,0.31415261899916525
1000,4,9,2,0.3270332063828421
1000,4,10,2,0.3406828441247363
1000,4,2,2,0.554850564871489
1000,4,3,2,0.6531795825216382
1000,4,4,2,0.7018795705688231
1000,4,5,2,0.6135481564434166
1000,4,6,2,0.5157140516692392
1000,4,7,2,0.4111620327954263
1000,4,8,2,0.31948987308259064
1000,4,9,2,0.3308783331781831
1000,4,10,2,0.3298871098745741
1000,4,2,2,0.715003562037218
1000,4,3,2,0.783863005892337
1000,4,4,2,0.5926016888312705
1000,4,5,2,0.5585923110517415
1000,4,6,2,0.44835349299203814
1000,4,7,2,0.3377420623373276
1000,4,8,2,0.3369437159263549
1000,4,9,2,0.3381531138536818
1000,4,10,2,0.33721980755423986
1000,4,2,2,0.8734090444441553
1000,4,3,2,0.4588147525296722
1000,4,4,2,0.4803162523796826
1000,4,5,2,0.4616053752678043
1000,4,6,2,0.3249885518921324
1000,4,7,2,0.33476855268839395
1000,4,8,2,0.3327799311252091
1000,4,9,2,0.3442374850781364
1000,4,10,2,0.33912325513064207
1000,4,2,2,0.6351269415862634
1000,4,3,2,0.7151926860859273
1000,4,4,2,0.6785568861705379
1000,4,5,2,0.5902606055365216
1000,4,6,2,0.4655407216268864
1000,4,7,2,0.3676572572679834
1000,4,8,2,0.33086531344163284
1000,4,9,2,0.33493535401930613
1000,4,10,2,0.33616155346471377
1000,4,2,2,0.7760477831897665
1000,4,3,2,0.7541053499957777
1000,4,4,2,0.5839635282247588
1000,4,5,2,0.5335638673662999
1000,4,6,2,0.4361556731266014
1000,4,7,2,0.4154291878470713
1000,4,8,2,0.3341165327671982
1000,4,9,2,0.3330559625109953
1000,4,10,2,0.33924535880460693
1000,4,2,2,0.5797423116742281
1000,4,3,2,0.6669709418863913
1000,4,4,2,0.7645411799807369
1000,4,5,2,0.6461646005957684
1000,4,6,2,0.5376601273780796
1000,4,7,2,0.44327470891104176
1000,4,8,2,0.32233119786780784
1000,4,9,2,0.3304446033213339
1000,4,10,2,0.3211445490518567
1000,4,2,2,0.5261091811251677
1000,4,3,2,0.7097210025448638
1000,4,4,2,0.7696346987849658
1000,4,5,2,0.6682322079475644
1000,4,6,2,0.5613893530797232
1000,4,7,2,0.4393834022613576
1000,4,8,2,0.32303987742276535
1000,4,9,2,0.3332334819918172
1000,4,10,2,0.3373727896732104
1000,4,2,2,0.7342072942849361
1000,4,3,2,0.6469854987015925
1000,4,4,2,0.49448441186347875
1000,4,5,2,0.4660014553355893
1000,4,6,2,0.3786027462760047
1000,4,7,2,0.3421420032710133
1000,4,8,2,0.31919139576572564
1000,4,9,2,0.3397373464337796
1000,4,10,2,0.3427536478796691
1000,4,2,2,0.5011785990531473
1000,4,3,2,0.7030701790497925
1000,4,4,2,0.8022729227257247
1000,4,5,2,0.6886176055482289
1000,4,6,2,0.5642762616877958
1000,4,7,2,0.4389573402034
1000,4,8,2,0.3349949662451961
1000,4,9,2,0.3396678080142194
1000,4,10,2,0.3394485049249214
1000,4,2,2,0.6626173558959335
